Indoor Catalogue Seeding Report
============================================================

Total products to process: 360
============================================================
  SKIP: ARC Shape Table (LF 7021) - already exists
  [IMG] CREATED: Blocks 32 Pcs                                           | SKU=LFT 3994P       | Rs. 2599.00 | [OK]
  [IMG] CREATED: Trampoline 36 inch                                      | SKU=LF 536          | Rs. 4990.00 | [OK]
  [IMG] CREATED: Trampoline 45 inch                                      | SKU=LF 545          | Rs. 6490.00 | [OK]
  [IMG] CREATED: Trampoline 55 inch                                      | SKU=LF 55           | Rs.11990.00 | [OK]
  [IMG] CREATED: Trampoline 72 inch                                      | SKU=LF 72           | Rs.20990.00 | [OK]
  [IMG] CREATED: Trampoline 96 inch                                      | SKU=LF 96           | Rs.24990.00 | [OK]
  [IMG] CREATED: Trampoline 120 inch                                     | SKU=LF 120          | Rs.31990.00 | [OK]
  [IMG] CREATED: Trampoline 144 inch                                     | SKU=LF 144T         | Rs.39990.00 | [OK]
  [IMG] CREATED: Trampoline 168 inch                                     | SKU=LF 168          | Rs.43990.00 | [OK]
  [IMG] CREATED: Twister Exercise Machine                                | SKU=LF 605          | Rs.14990.00 | [OK]
  [IMG] CREATED: Treadmill Exercise Machine                              | SKU=LF 604          | Rs.11990.00 | [OK]
  [IMG] CREATED: Cycling Exercise Machine                                | SKU=LF 606          | Rs.11990.00 | [OK]
  [IMG] CREATED: Balancer Exercise Machine                               | SKU=LF 601          | Rs.11990.00 | [OK]
  [IMG] CREATED: Flexer Exercise Machine                                 | SKU=LF 602          | Rs. 8490.00 | [OK]
  [IMG] CREATED: Rowing Exercise Machine                                 | SKU=LF 603          | Rs.11490.00 | [OK]
  [IMG] CREATED: Toy Shelf 3 Tier                                        | SKU=LF 935          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Toy Shelf 3 Tier Narrow                                 | SKU=LF 936          | Rs. 8990.00 | [OK]
  [IMG] CREATED: Toy Shelf 4 Tier                                        | SKU=LF 937          | Rs.12990.00 | [OK]
  [IMG] CREATED: Tent House                                              | SKU=LF 5532         | Rs. 2490.00 | [OK]
  [IMG] CREATED: Tunnel Tent House                                       | SKU=LFT 1104C       | Rs. 5990.00 | [OK]
  [IMG] CREATED: Large Play Tent                                         | SKU=LF 5052         | Rs. 2990.00 | [OK]
  [IMG] CREATED: Play Tunnel                                             | SKU=LF 5012         | Rs. 1490.00 | [OK]
  [IMG] CREATED: Tunnel Tent                                             | SKU=LF 1101C        | Rs. 1990.00 | [OK]
  [IMG] CREATED: Pop-Up Tent                                             | SKU=LF 1103C        | Rs. 2790.00 | [OK]
  [IMG] CREATED: Divider 10 Pcs                                          | SKU=LF 52           | Rs. 1190.00 | [OK]
  [IMG] CREATED: Divider 25 Pcs                                          | SKU=LF 53           | Rs.  750.00 | [OK]
  [IMG] CREATED: Agility Ladder                                          | SKU=LF 58           | Rs. 1790.00 | [OK]
  [IMG] CREATED: Swing Ring                                              | SKU=LF 414A         | Rs.  990.00 | [OK]
  [IMG] CREATED: Ring 40cm                                               | SKU=LF 56           | Rs.  990.00 | [OK]
  [IMG] CREATED: Ring 50cm                                               | SKU=LF 57           | Rs. 1190.00 | [OK]
  [IMG] CREATED: Hurdle                                                  | SKU=LF 51           | Rs.  290.00 | [OK]
  [IMG] CREATED: Rope Ladder                                             | SKU=F-3             | Rs. 1790.00 | [OK]
  [IMG] CREATED: Balancer 6 Pcs                                          | SKU=LF 144B         | Rs. 4490.00 | [OK]
  [IMG] CREATED: Balancer 8 Pcs                                          | SKU=LF 143          | Rs. 4490.00 | [OK]
  [IMG] CREATED: Balance Path Set                                        | SKU=LF 145          | Rs. 5990.00 | [OK]
  [IMG] CREATED: Whale Riverstone Play Set                               | SKU=LF 147          | Rs. 5990.00 | [OK]
